sigma,OPENVSLAM,ORBSLAM,STREETMAP
0,0.6132509208434692,1.367095807235589,0.8497218676109304
3,0.6842701237535341,1.5702662901656286,1.1306770414324396
5,1.1490438182009317,1.7785317671996128,1.0603163401666302
7,2.061814812949171,1.937989201768109,1.0225915279752238
11,3.5021184929401636,2.893726601654115,3.59310784283214
13,2.8270007888307997,3.2465879814341427,6.2771344736306265
15,3.3536703478451164,3.211231076653162,50.94720465756433
19,1.8378617519312228,2.399300079236914,73.47734284440887
