sigma,OPENVSLAM,ORBSLAM,STREETMAP
0,0.22885898982899114,0.6291740068985906,0.3077964319244917
3,0.6676102143906295,0.45068032719609774,0.09839774439965789
5,0.3213736259963805,1.3526636403138583,0.21808220923115507
7,0.7161152574082335,1.0074961653719374,0.3356280501120736
11,1.7748212540239243,2.440846074685906,0.3439750208617023
13,1.8122327415484265,2.3597967245711375,0.8255847714464548
15,2.772966473766031,3.127511847863115,1.03523012277763
19,2.6903358358189817,3.4523430268504662,10.384130674939431
