sigma,OPENVSLAM,ORBSLAM,STREETMAP
0.0,0.6132509208434692,1.367095807235589,0.8497218676109304
0.25,0.8245904002661129,1.508738023242062,0.8489111109278551
0.5,0.7215738567856355,1.1549420866795714,0.5182757977848553
0.75,0.7578725135448541,0.83375987819686,0.44685470999708987
1.0,0.9230733477861713,1.6655796584055838,0.6070370211439565
1.25,1.0516359770861774,1.9854685981010793,0.6598598049430161
1.5,0.8780558515671402,2.0115590339093696,1.794340206761904
2.0,2.8522253029819797,2.358093024114712,1.2408502301162447
3.0,3.3274302077379003,2.880468160268429,1.4294056559316632
